7
	1 2	3 1	1 1	1 5	1 3	2 1	1 4
0	1	 1	 0	 0	 0	 0	 0	 
1	1	 1	 0	 0	 0	 0	 0	 
2	0	 0	 0	 0	 0	 0	 0	 
3	1	 1	 0	 0	 0	 0	 0	 
4	1	 1	 0	 0	 0	 0	 0	 
5	1	 1	 0	 0	 0	 0	 0	 
6	0	 0	 0	 0	 0	 0	 1	 
7	1	 1	 0	 0	 0	 0	 0	 
8	1	 1	 0	 0	 0	 0	 0	 
9	1	 1	 0	 0	 0	 0	 0	 
10	0	 0	 0	 0	 0	 1	 0	 
11	1	 1	 0	 0	 0	 0	 0	 
12	1	 1	 0	 0	 0	 0	 0	 
13	1	 1	 0	 0	 0	 0	 0	 
14	0	 0	 0	 0	 0	 1	 1	 
15	0	 1	 1	 0	 0	 0	 0	 
16	0	 1	 1	 0	 0	 0	 0	 
17	0	 1	 1	 0	 0	 0	 0	 
18	0	 1	 1	 0	 0	 0	 0	 
19	0	 0	 0	 0	 1	 0	 0	 
20	0	 1	 1	 0	 0	 0	 0	 
21	0	 0	 0	 0	 1	 0	 1	 
22	0	 1	 1	 0	 0	 0	 0	 
23	0	 1	 1	 0	 0	 0	 0	 
24	0	 1	 1	 0	 0	 0	 0	 
25	0	 0	 0	 0	 1	 1	 0	 
26	0	 1	 1	 0	 0	 0	 0	 
27	1	 0	 0	 0	 0	 0	 0	 
28	1	 0	 0	 0	 0	 0	 0	 
29	1	 0	 0	 0	 0	 0	 0	 
30	1	 0	 0	 0	 0	 0	 0	 
31	0	 0	 0	 0	 1	 1	 1	 
32	1	 0	 0	 0	 0	 0	 0	 
33	1	 0	 0	 0	 0	 0	 0	 
34	1	 0	 0	 0	 0	 0	 0	 
35	0	 0	 0	 1	 0	 0	 0	 
36	1	 0	 0	 0	 0	 0	 0	 
37	1	 0	 0	 0	 0	 0	 0	 
38	1	 0	 0	 0	 0	 0	 0	 
39	0	 0	 0	 1	 0	 0	 1	 
40	1	 0	 0	 0	 0	 0	 0	 
41	1	 0	 0	 0	 0	 0	 0	 
42	1	 0	 0	 0	 0	 0	 0	 
43	0	 0	 0	 1	 0	 1	 0	 
44	1	 0	 0	 0	 0	 0	 0	 
45	1	 0	 0	 0	 0	 0	 0	 
46	1	 0	 0	 0	 0	 0	 0	 
47	0	 0	 0	 1	 0	 1	 1	 
48	1	 0	 0	 0	 0	 0	 0	 
49	1	 0	 0	 0	 0	 0	 0	 
50	1	 0	 0	 0	 0	 0	 0	 
51	0	 0	 0	 1	 1	 0	 0	 
52	1	 0	 0	 0	 0	 0	 0	 
53	1	 0	 0	 0	 0	 0	 0	 
54	1	 0	 0	 0	 0	 0	 0	 
55	0	 0	 0	 1	 1	 0	 1	 
56	1	 0	 0	 0	 0	 0	 0	 
57	1	 0	 0	 0	 0	 0	 0	 
58	1	 0	 0	 0	 0	 0	 0	 
59	0	 0	 0	 1	 1	 1	 0	 
60	1	 0	 0	 0	 0	 0	 0	 
61	1	 0	 0	 0	 0	 0	 0	 
62	1	 0	 0	 0	 0	 0	 0	 
63	0	 0	 0	 1	 1	 1	 1	 
64	1	 0	 0	 0	 0	 0	 0	 
65	1	 0	 0	 0	 0	 0	 0	 
66	1	 0	 0	 0	 0	 0	 0	 
67	0	 0	 1	 0	 0	 0	 0	 
68	1	 0	 0	 0	 0	 0	 0	 
