7
	1 2	3 1	1 1	1 5	1 3	2 1	1 4
0	1	 1	 0	 0	 0	 0	 0	 
1	1	 1	 0	 0	 0	 0	 0	 
2	0	 0	 0	 0	 0	 0	 0	 
3	1	 1	 0	 0	 0	 0	 0	 
4	0	 0	 0	 0	 0	 0	 1	 
5	1	 1	 0	 0	 0	 0	 0	 
6	0	 0	 0	 0	 0	 1	 0	 
7	1	 1	 0	 0	 0	 0	 0	 
8	0	 0	 0	 0	 0	 1	 1	 
9	1	 1	 0	 0	 0	 0	 0	 
10	0	 0	 0	 0	 1	 0	 0	 
11	1	 1	 0	 0	 0	 0	 0	 
12	0	 0	 0	 0	 1	 0	 1	 
13	1	 1	 0	 0	 0	 0	 0	 
14	0	 0	 0	 0	 1	 1	 0	 
15	1	 1	 0	 0	 0	 0	 0	 
16	0	 0	 0	 0	 1	 1	 1	 
17	1	 1	 0	 0	 0	 0	 0	 
18	0	 0	 0	 1	 0	 0	 0	 
19	1	 1	 0	 0	 0	 0	 0	 
20	0	 0	 0	 1	 0	 0	 1	 
21	1	 1	 0	 0	 0	 0	 0	 
22	0	 0	 0	 1	 0	 1	 0	 
23	1	 1	 0	 0	 0	 0	 0	 
24	0	 0	 0	 1	 0	 1	 1	 
25	1	 1	 0	 0	 0	 0	 0	 
26	0	 0	 0	 1	 1	 0	 0	 
27	1	 1	 0	 0	 0	 0	 0	 
28	0	 1	 1	 0	 0	 0	 0	 
29	0	 1	 1	 0	 0	 0	 0	 
30	0	 0	 0	 1	 1	 0	 1	 
31	0	 1	 1	 0	 0	 0	 0	 
32	0	 0	 0	 1	 1	 1	 0	 
33	0	 0	 0	 1	 1	 1	 1	 
34	0	 1	 1	 0	 0	 0	 0	 
35	0	 0	 1	 0	 0	 0	 0	 
36	0	 1	 1	 0	 0	 0	 0	 
37	0	 0	 1	 0	 0	 0	 1	 
38	0	 1	 1	 0	 0	 0	 0	 
39	0	 0	 1	 0	 0	 1	 0	 
40	0	 1	 1	 0	 0	 0	 0	 
41	0	 0	 1	 0	 0	 1	 1	 
42	0	 1	 1	 0	 0	 0	 0	 
43	0	 0	 1	 0	 1	 0	 0	 
44	0	 1	 1	 0	 0	 0	 0	 
45	1	 0	 0	 0	 0	 0	 0	 
46	1	 0	 0	 0	 0	 0	 0	 
47	0	 0	 1	 0	 1	 0	 1	 
48	1	 0	 0	 0	 0	 0	 0	 
49	0	 0	 1	 0	 1	 1	 0	 
50	1	 0	 0	 0	 0	 0	 0	 
51	0	 0	 1	 0	 1	 1	 1	 
52	1	 0	 0	 0	 0	 0	 0	 
53	0	 0	 1	 1	 0	 0	 0	 
54	1	 0	 0	 0	 0	 0	 0	 
55	0	 0	 1	 1	 0	 0	 1	 
56	1	 0	 0	 0	 0	 0	 0	 
57	0	 0	 1	 1	 0	 1	 0	 
58	1	 0	 0	 0	 0	 0	 0	 
59	0	 0	 1	 1	 0	 1	 1	 
60	0	 1	 1	 1	 0	 0	 0	 
61	0	 1	 1	 1	 0	 0	 0	 
62	0	 0	 1	 1	 1	 0	 0	 
63	0	 1	 1	 1	 0	 0	 0	 
64	0	 0	 1	 1	 1	 0	 1	 
65	0	 0	 1	 1	 1	 1	 0	 
66	0	 0	 0	 0	 0	 1	 0	 
67	0	 0	 1	 1	 1	 1	 1	 
68	0	 0	 0	 0	 0	 1	 0	 
